Nome: BRASILIA
Codigo Estacao: A001
Latitude: -15.78944444
Longitude: -47.92583332
Altitude: 1160.96
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-14;1500;3435.9;
2020-01-14;1600;3550.01;
2020-01-14;1700;3469.969;
2020-01-14;1800;3422.527;
2020-01-14;1900;2032.939;
2020-01-14;2000;1985.114;
2020-01-14;2100;826.012;
2020-01-14;2200;139.812;
2020-01-14;2300;-3.54;
2020-01-15;0000;-3.54;
2020-01-15;0100;-3.54;
2020-01-15;0200;-3.54;
2020-01-15;0300;-3.538;
2020-01-15;0400;-3.538;
2020-01-15;0500;-3.449;
2020-01-15;0600;-3.54;
2020-01-15;0700;-3.532;
2020-01-15;0800;-3.54;
2020-01-15;0900;-1.913;
2020-01-15;1000;128.772;
2020-01-15;1100;660.026;
2020-01-15;1200;2034.207;
2020-01-15;1300;2866.734;
2020-01-15;1400;3442.653;
2020-01-15;1500;3485.751;
2020-01-15;1600;3482.705;
2020-01-15;1700;3300.403;
2020-01-15;1800;3047.216;
2020-01-15;1900;2547.268;
2020-01-15;2000;1939.592;
2020-01-15;2100;912.839;
2020-01-15;2200;171.263;
2020-01-15;2300;-3.54;
2020-01-16;0000;-3.54;
2020-01-16;0100;-3.54;
2020-01-16;0200;-3.54;
2020-01-16;0300;-3.54;
2020-01-16;0400;-3.54;
2020-01-16;0500;-3.54;
2020-01-16;0600;-3.54;
2020-01-16;0700;-3.54;
2020-01-16;0800;-3.54;
2020-01-16;0900;-2.66;
2020-01-16;1000;123.57;
2020-01-16;1100;982.638;
2020-01-16;1200;2060.853;
2020-01-16;1300;2324.105;
2020-01-16;1400;3283.181;
2020-01-16;1500;3747.632;
2020-01-16;1600;3255.929;
2020-01-16;1700;2979.826;
2020-01-16;1800;2904.498;
2020-01-16;1900;2132.777;
2020-01-16;2000;1588.496;
2020-01-16;2100;781.242;
2020-01-16;2200;106.409;
2020-01-16;2300;-3.54;
2020-01-17;0000;-3.54;
2020-01-17;0100;-3.54;
2020-01-17;0200;-3.54;
2020-01-17;0300;-3.391;
2020-01-17;0400;-3.38;
2020-01-17;0500;-3.012;
2020-01-17;0600;-3.538;
2020-01-17;0700;-3.54;
2020-01-17;0800;-3.506;
2020-01-17;0900;-2.26;
2020-01-17;1000;104.091;
2020-01-17;1100;707.538;
2020-01-17;1200;1390.014;
2020-01-17;1300;1435.859;
2020-01-17;1400;2716.107;
2020-01-17;1500;3204.804;
2020-01-17;1600;2677.422;
2020-01-17;1700;2725.576;
2020-01-17;1800;2904.265;
2020-01-17;1900;1123.252;
2020-01-17;2000;942.821;
2020-01-17;2100;241.819;
2020-01-17;2200;81.381;
2020-01-17;2300;-2.801;
2020-01-18;0000;-3.54;
2020-01-18;0100;-3.54;
2020-01-18;0200;-3.538;
2020-01-18;0300;-3.477;
2020-01-18;0400;-3.29;
2020-01-18;0500;-3.54;
2020-01-18;0600;-3.54;
2020-01-18;0700;-3.526;
2020-01-18;0800;-3.54;
2020-01-18;0900;-2.744;
2020-01-18;1000;104.227;
2020-01-18;1100;483.861;
2020-01-18;1200;726.896;
2020-01-18;1300;1274.44;
2020-01-18;1400;1936.32;
2020-01-18;1500;1647.104;
2020-01-18;1600;1040.678;
2020-01-18;1700;885.206;
2020-01-18;1800;1461.409;
2020-01-18;1900;1016.263;
2020-01-18;2000;1193.512;
2020-01-18;2100;634.956;
2020-01-18;2200;49.866;
2020-01-18;2300;-3.54;
2020-01-19;0000;-3.54;
2020-01-19;0100;-3.54;
2020-01-19;0200;-3.506;
2020-01-19;0300;-3.54;
2020-01-19;0400;-2.063;
2020-01-19;0500;-3.479;
2020-01-19;0600;-3.54;
2020-01-19;0700;-3.54;
2020-01-19;0800;-3.54;
2020-01-19;0900;-1.954;
2020-01-19;1000;268.984;
2020-01-19;1100;1085.406;
2020-01-19;1200;1995.918;
2020-01-19;1300;2760.461;
2020-01-19;1400;3396.428;
2020-01-19;1500;2956.703;
2020-01-19;1600;3477.199;
2020-01-19;1700;3627.28;
2020-01-19;1800;1229.06;
2020-01-19;1900;1343.315;
2020-01-19;2000;1876.55;
2020-01-19;2100;457.773;
2020-01-19;2200;68.994;
2020-01-19;2300;-3.254;
2020-01-20;0000;-2.576;
2020-01-20;0100;-3.181;
2020-01-20;0200;-2.587;
2020-01-20;0300;-2.745;
2020-01-20;0400;-2.34;
2020-01-20;0500;-.728;
2020-01-20;0600;-1.485;
2020-01-20;0700;-2.351;
2020-01-20;0800;-2.946;
2020-01-20;0900;-.018;
2020-01-20;1000;305.779;
2020-01-20;1100;991.778;
2020-01-20;1200;1435.264;
2020-01-20;1300;2207.414;
2020-01-20;1400;1741.176;
2020-01-20;1500;841.707;
2020-01-20;1600;1677.3;
2020-01-20;1700;2356.734;
2020-01-20;1800;2815.368;
2020-01-20;1900;2156.697;
2020-01-20;2000;1468.968;
2020-01-20;2100;431.372;
2020-01-20;2200;57.776;
2020-01-20;2300;-3.54;
2020-01-21;0000;-2.639;
2020-01-21;0100;-2.906;
2020-01-21;0200;-1.286;
2020-01-21;0300;-1.527;
2020-01-21;0400;-2.466;
2020-01-21;0500;-2.992;
2020-01-21;0600;-2.895;
2020-01-21;0700;-2.918;
2020-01-21;0800;-2.739;
2020-01-21;0900;-2.624;
2020-01-21;1000;28.98;
2020-01-21;1100;380.914;
2020-01-21;1200;914.539;
2020-01-21;1300;1099.941;
2020-01-21;1400;2446.963;
2020-01-21;1500;3316.414;
2020-01-21;1600;2648.434;
2020-01-21;1700;1083.286;
2020-01-21;1800;3031.202;
2020-01-21;1900;1358.423;
2020-01-21;2000;1126.952;
2020-01-21;2100;297.327;
2020-01-21;2200;42.494;
2020-01-21;2300;-2.577;
2020-01-22;0000;-1.018;
2020-01-22;0100;-2.162;
2020-01-22;0200;-2.293;
2020-01-22;0300;-2.325;
2020-01-22;0400;-3.278;
2020-01-22;0500;-3.038;
2020-01-22;0600;-2.467;
2020-01-22;0700;-2.377;
2020-01-22;0800;-2.787;
2020-01-22;0900;-2.309;
2020-01-22;1000;38.977;
2020-01-22;1100;281.388;
2020-01-22;1200;546.064;
2020-01-22;1300;714.631;
2020-01-22;1400;720.735;
2020-01-22;1500;1568.026;
2020-01-22;1600;1442.252;
2020-01-22;1700;1422.604;
2020-01-22;1800;707.468;
2020-01-22;1900;573.764;
2020-01-22;2000;863.674;
2020-01-22;2100;251.382;
2020-01-22;2200;70.155;
2020-01-22;2300;-1.578;
2020-01-23;0000;-2.504;
2020-01-23;0100;-2.247;
2020-01-23;0200;-1.507;
2020-01-23;0300;-1.618;
2020-01-23;0400;-2.129;
2020-01-23;0500;-1.846;
2020-01-23;0600;-2.204;
2020-01-23;0700;-1.825;
2020-01-23;0800;-1.317;
2020-01-23;0900;-.916;
2020-01-23;1000;24.011;
2020-01-23;1100;224.19;
2020-01-23;1200;525.727;
2020-01-23;1300;752.015;
2020-01-23;1400;1075.091;
2020-01-23;1500;1754.35;
2020-01-23;1600;1419.298;
2020-01-23;1700;1647.11;
2020-01-23;1800;2504.06;
2020-01-23;1900;2040.688;
2020-01-23;2000;1481.649;
2020-01-23;2100;274.91;
2020-01-23;2200;52.296;
2020-01-23;2300;-2.034;
2020-01-24;0000;-1.673;
2020-01-24;0100;-.935;
2020-01-24;0200;-.489;
2020-01-24;0300;-.169;
2020-01-24;0400;-1.613;
2020-01-24;0500;-.99;
2020-01-24;0600;-.935;
2020-01-24;0700;-1.386;
2020-01-24;0800;-1.744;
2020-01-24;0900;-.248;
2020-01-24;1000;60.715;
2020-01-24;1100;361.655;
2020-01-24;1200;806.143;
2020-01-24;1300;811.906;
2020-01-24;1400;763.746;
2020-01-24;1500;1238.798;
2020-01-24;1600;2192.639;
2020-01-24;1700;2137.724;
2020-01-24;1800;1011.004;
2020-01-24;1900;1535.044;
2020-01-24;2000;721.206;
2020-01-24;2100;485.195;
2020-01-24;2200;200.481;
2020-01-24;2300;-.965;
2020-01-25;0000;-1.374;
2020-01-25;0100;-1.842;
2020-01-25;0200;-1.838;
2020-01-25;0300;-.74;
2020-01-25;0400;-1.238;
2020-01-25;0500;-.643;
2020-01-25;0600;-1.126;
2020-01-25;0700;-1.894;
2020-01-25;0800;-1.027;
2020-01-25;0900;-.332;
2020-01-25;1000;76.832;
2020-01-25;1100;223.39;
2020-01-25;1200;451.066;
2020-01-25;1300;698.977;
2020-01-25;1400;601.774;
2020-01-25;1500;1041.973;
2020-01-25;1600;1576.643;
2020-01-25;1700;918.858;
2020-01-25;1800;847.18;
2020-01-25;1900;841.713;
2020-01-25;2000;398.619;
2020-01-25;2100;190.694;
2020-01-25;2200;26.332;
2020-01-25;2300;-.163;
2020-01-26;0000;-1.443;
2020-01-26;0100;-1.674;
2020-01-26;0200;-1.531;
2020-01-26;0300;-.794;
2020-01-26;0400;-.272;
2020-01-26;0500;-2.029;
2020-01-26;0600;-1.615;
2020-01-26;0700;-1.832;
2020-01-26;0800;-1.418;
2020-01-26;0900;-1.265;
2020-01-26;1000;38.443;
2020-01-26;1100;92.17;
2020-01-26;1200;187.029;
2020-01-26;1300;400.219;
2020-01-26;1400;969.654;
2020-01-26;1500;1856.517;
2020-01-26;1600;2441.192;
2020-01-26;1700;2525.775;
2020-01-26;1800;2033.539;
2020-01-26;1900;1056.511;
2020-01-26;2000;406.386;
2020-01-26;2100;69.859;
2020-01-26;2200;12.781;
2020-01-26;2300;-1.593;
2020-01-27;0000;-2.008;
2020-01-27;0100;-3.162;
2020-01-27;0200;-3.411;
2020-01-27;0300;-2.082;
2020-01-27;0400;-1.457;
2020-01-27;0500;-1.889;
2020-01-27;0600;-3.051;
2020-01-27;0700;-2.856;
2020-01-27;0800;-2.39;
2020-01-27;0900;-3.224;
2020-01-27;1000;157.108;
2020-01-27;1100;613.327;
2020-01-27;1200;1441.954;
2020-01-27;1300;2060.038;
2020-01-27;1400;2660.599;
2020-01-27;1500;3014.312;
2020-01-27;1600;2331.09;
2020-01-27;1700;888.349;
2020-01-27;1800;1000.366;
2020-01-27;1900;1447.469;
2020-01-27;2000;1136.347;
2020-01-27;2100;379.408;
2020-01-27;2200;41.217;
2020-01-27;2300;-2.125;
2020-01-28;0000;-3.437;
2020-01-28;0100;-3.532;
2020-01-28;0200;-3.518;
2020-01-28;0300;-3.273;
2020-01-28;0400;-2.541;
2020-01-28;0500;-2.047;
2020-01-28;0600;-2.973;
2020-01-28;0700;-3.37;
2020-01-28;0800;-2.799;
2020-01-28;0900;-1.709;
2020-01-28;1000;53.256;
2020-01-28;1100;641.005;
2020-01-28;1200;871.909;
2020-01-28;1300;2136.9;
2020-01-28;1400;2613.13;
2020-01-28;1500;3101.854;
2020-01-28;1600;3698.932;
2020-01-28;1700;1938.836;
2020-01-28;1800;2615.786;
2020-01-28;1900;2430.031;
2020-01-28;2000;1265.8;
2020-01-28;2100;551.142;
2020-01-28;2200;31.609;
2020-01-28;2300;-2.766;
2020-01-29;0000;-2.968;
2020-01-29;0100;-2.854;
2020-01-29;0200;-3.078;
2020-01-29;0300;-3.385;
2020-01-29;0400;-3.201;
2020-01-29;0500;-3.524;
2020-01-29;0600;-2.559;
2020-01-29;0700;-2.487;
2020-01-29;0800;-1.586;
2020-01-29;0900;-1.93;
2020-01-29;1000;140.967;
2020-01-29;1100;758.212;
2020-01-29;1200;1212.4;
2020-01-29;1300;2267.522;
2020-01-29;1400;2780.858;
2020-01-29;1500;3528.668;
2020-01-29;1600;3451.646;
2020-01-29;1700;2567.59;
2020-01-29;1800;2550.939;
2020-01-29;1900;2019.711;
2020-01-29;2000;1253.113;
2020-01-29;2100;356.59;
2020-01-29;2200;54.754;
2020-01-29;2300;-3.54;
2020-01-30;0000;-3.54;
2020-01-30;0100;-3.54;
2020-01-30;0200;-3.54;
2020-01-30;0300;-3.54;
2020-01-30;0400;-3.469;
2020-01-30;0500;-3.385;
2020-01-30;0600;-3.54;
2020-01-30;0700;-3.24;
2020-01-30;0800;-3.292;
2020-01-30;0900;-2.755;
2020-01-30;1000;154.823;
2020-01-30;1100;701.002;
2020-01-30;1200;1744.949;
2020-01-30;1300;2619.883;
2020-01-30;1400;3522.41;
2020-01-30;1500;3319.659;
2020-01-30;1600;2954.17;
2020-01-30;1700;2646.396;
2020-01-30;1800;2044.549;
2020-01-30;1900;2396.104;
2020-01-30;2000;662.523;
2020-01-30;2100;197.498;
2020-01-30;2200;146.797;
2020-01-30;2300;-3.54;
2020-01-31;0000;-3.54;
2020-01-31;0100;-3.54;
2020-01-31;0200;-3.54;
2020-01-31;0300;-3.534;
2020-01-31;0400;-3.54;
2020-01-31;0500;-3.54;
2020-01-31;0600;-3.54;
2020-01-31;0700;-3.54;
2020-01-31;0800;-3.54;
2020-01-31;0900;-3.169;
2020-01-31;1000;113.705;
2020-01-31;1100;1022.599;
2020-01-31;1200;2103.791;
2020-01-31;1300;1739.187;
2020-01-31;1400;2887.303;
2020-01-31;1500;3822.457;
2020-01-31;1600;4148.413;
2020-01-31;1700;3879.09;
2020-01-31;1800;3393.322;
2020-01-31;1900;2880.614;
2020-01-31;2000;1586.513;
2020-01-31;2100;455.857;
2020-01-31;2200;63.302;
2020-01-31;2300;-3.54;
2020-02-01;0000;-3.54;
2020-02-01;0100;-3.54;
2020-02-01;0200;-3.54;
2020-02-01;0300;-3.54;
2020-02-01;0400;-3.54;
2020-02-01;0500;-3.54;
2020-02-01;0600;-3.54;
2020-02-01;0700;-3.54;
2020-02-01;0800;-3.512;
2020-02-01;0900;-3.304;
2020-02-01;1000;162.273;
2020-02-01;1100;902.072;
2020-02-01;1200;1867.859;
2020-02-01;1300;2788.8;
2020-02-01;1400;2960.863;
2020-02-01;1500;2947.647;
2020-02-01;1600;2787.034;
2020-02-01;1700;2676.828;
2020-02-01;1800;3414.501;
2020-02-01;1900;2807.356;
2020-02-01;2000;1291.529;
2020-02-01;2100;585.012;
2020-02-01;2200;106.654;
2020-02-01;2300;-3.54;
2020-02-02;0000;-3.54;
2020-02-02;0100;-3.54;
2020-02-02;0200;-3.54;
2020-02-02;0300;-3.53;
2020-02-02;0400;-3.536;
2020-02-02;0500;-3.391;
2020-02-02;0600;-3.538;
2020-02-02;0700;-3.54;
2020-02-02;0800;-3.54;
2020-02-02;0900;-3.315;
2020-02-02;1000;197.619;
2020-02-02;1100;1084.371;
2020-02-02;1200;1975.578;
2020-02-02;1300;2586.224;
2020-02-02;1400;3215.777;
2020-02-02;1500;3250.157;
2020-02-02;1600;3593.386;
2020-02-02;1700;2583.423;
2020-02-02;1800;3457.445;
2020-02-02;1900;2854.728;
2020-02-02;2000;1880.966;
2020-02-02;2100;874.979;
2020-02-02;2200;82.537;
2020-02-02;2300;-3.54;
2020-02-03;0000;-3.54;
2020-02-03;0100;-3.463;
2020-02-03;0200;-3.496;
2020-02-03;0300;-3.287;
2020-02-03;0400;-3.54;
2020-02-03;0500;-3.54;
2020-02-03;0600;-3.54;
2020-02-03;0700;-3.54;
2020-02-03;0800;-3.54;
2020-02-03;0900;-2.902;
2020-02-03;1000;208.384;
2020-02-03;1100;1014.645;
2020-02-03;1200;1936.447;
2020-02-03;1300;2749.11;
2020-02-03;1400;3436.495;
2020-02-03;1500;3185.783;
2020-02-03;1600;3248.409;
2020-02-03;1700;3566.293;
2020-02-03;1800;3178.813;
2020-02-03;1900;2325.756;
2020-02-03;2000;914.125;
2020-02-03;2100;1029.817;
2020-02-03;2200;53.283;
2020-02-03;2300;-1.951;
2020-02-04;0000;-2.898;
2020-02-04;0100;-3.096;
2020-02-04;0200;-3.54;
2020-02-04;0300;-3.049;
2020-02-04;0400;-2.825;
2020-02-04;0500;-1.049;
2020-02-04;0600;-2.316;
2020-02-04;0700;-.631;
2020-02-04;0800;-2.737;
2020-02-04;0900;-3.27;
2020-02-04;1000;110.687;
2020-02-04;1100;1001.58;
2020-02-04;1200;1592.822;
2020-02-04;1300;1701.534;
2020-02-04;1400;2568.779;
2020-02-04;1500;2925.629;
2020-02-04;1600;3730.833;
2020-02-04;1700;3362.498;
2020-02-04;1800;2566.322;
2020-02-04;1900;1992.123;
2020-02-04;2000;780.358;
2020-02-04;2100;645.316;
2020-02-04;2200;151.937;
2020-02-04;2300;-3.49;
2020-02-05;0000;-3.54;
2020-02-05;0100;-3.516;
2020-02-05;0200;-3.217;
2020-02-05;0300;-3.461;
2020-02-05;0400;-3.534;
2020-02-05;0500;-3.467;
2020-02-05;0600;-3.538;
2020-02-05;0700;-3.54;
2020-02-05;0800;-3.532;
2020-02-05;0900;-2.448;
2020-02-05;1000;65.201;
2020-02-05;1100;425.256;
